measure,weighings,share_of_all
weighings in the built dataset,11433,100.0
  published at the typed magnitude (conversion only),8840,77.3
  published at a CORRECTED magnitude,2581,22.6
    ... x1000: a kilogram number ticked as grams (or mL as L),1886,16.5
    ... /1000: a gram number ticked as kilograms (or mL as L),145,1.3
"    ... one decade, either way: a decimal slip",411,3.6
    ... any other distance,139,1.2
uncertain -- any of the three below,1742,15.2
"  disputed: the two rules disagreed, block published",607,5.3
  step1_flagged: the anchor distrusted its own answer,1500,13.1
"  unusable: no defensible reading, weight is .c",12,0.1
